4.999999099300000083e+00,1.238822545000000004e-02,3.449007226799999815e-03,7.543936346599999787e-01,4.328477566499999707e-02
4.959759612500000081e+00,1.251094969000000022e-02,3.522283921799999797e-03,7.537379854900000398e-01,4.369980075899999872e-02
4.859859454100000420e+00,1.282631502600000035e-02,3.714586217400000102e-03,7.520489128699999748e-01,4.476537094599999933e-02
4.759968004100000094e+00,1.315781270400000029e-02,3.922990697699999668e-03,7.502667813300000210e-01,4.588404765799999896e-02
4.660086235599999682e+00,1.350669383099999989e-02,4.149335495400000191e-03,7.483837360999999744e-01,4.705987754100000170e-02
4.560215256200000233e+00,1.387433954800000070e-02,4.395726913199999968e-03,7.463910211199999978e-01,4.829732487900000037e-02
4.460356329399999709e+00,1.426227786599999943e-02,4.664587416599999710e-03,7.442788481500000053e-01,4.960132593199999967e-02
4.360510902299999714e+00,1.467220307999999966e-02,4.958713870899999696e-03,7.420362417300000457e-01,5.097735199299999881e-02
4.260680637200000120e+00,1.510599818699999951e-02,5.281348567699999802e-03,7.396508566099999626e-01,5.243148238999999905e-02
4.160867450599999628e+00,1.556576083599999979e-02,5.636266326700000405e-03,7.371087606799999747e-01,5.397048949600000145e-02
4.061073560399999671e+00,1.605383339899999970e-02,6.027881916200000106e-03,7.343941760800000162e-01,5.560193796000000022e-02
3.961301544299999922e+00,1.657283787600000169e-02,6.461383329500000432e-03,7.314891690100000510e-01,5.733430082200000055e-02
3.861554410800000170e+00,1.712571643299999960e-02,6.942898174599999687e-03,7.283732772400000055e-01,5.917709557599999670e-02
3.761835688600000172e+00,1.771577848400000127e-02,7.479702789200000021e-03,7.250230588799999598e-01,6.114104437799999792e-02
3.686133319800000141e+00,1.819097104399999831e-02,7.929551005699999461e-03,7.223060321700000008e-01,6.272073652800000398e-02
3.610451833700000002e+00,1.869156473600000132e-02,8.420718337600000686e-03,7.194250245200000116e-01,6.438316181900000101e-02
3.534793643200000002e+00,1.921955618400000149e-02,8.958350910600000258e-03,7.163650532899999979e-01,6.613483770299999343e-02
3.459161515499999950e+00,1.977714116300000047e-02,9.548408254899999961e-03,7.131093075000000114e-01,6.798295666400000492e-02
3.383558637600000196e+00,2.036673666499999938e-02,1.019781954799999987e-02,7.096388713100000301e-01,6.993546977999999525e-02
3.307988698399999983e+00,2.099100497099999976e-02,1.091467516399999976e-02,7.059323991499999451e-01,7.200118114200000641e-02
3.232455990200000073e+00,2.165287958900000143e-02,1.170846267799999924e-02,7.019657318399999957e-01,7.418985459999999366e-02
3.182124021799999980e+00,2.211660431400000112e-02,1.228583337899999926e-02,6.991633428400000350e-01,7.572258763399999926e-02
3.131812522800000220e+00,2.259950977100000022e-02,1.290612252900000083e-02,6.962241611899999683e-01,7.731827082299999598e-02
3.081523400100000032e+00,2.310270122000000065e-02,1.357359236799999917e-02,6.931383170599999533e-01,7.898066879100000548e-02
3.031258795699999897e+00,2.362735548599999985e-02,1.429303292099999914e-02,6.898950206399999674e-01,8.071382454000000650e-02
2.981021126099999918e+00,2.417472400699999940e-02,1.506983962999999989e-02,6.864824609299999825e-01,8.252208065299999895e-02
2.930813129600000178e+00,2.474613523800000062e-02,1.591010400600000041e-02,6.828876933699999929e-01,8.441010106400000101e-02
2.880637924000000183e+00,2.534299605399999850e-02,1.682071963199999881e-02,6.790965153500000406e-01,8.638289290200000525e-02
2.830499078299999915e+00,2.596679168299999979e-02,1.780950634299999918e-02,6.750933273000000456e-01,8.844582824100000185e-02
2.797095419500000180e+00,2.639838681099999917e-02,1.851646698599999918e-02,6.722983553000000390e-01,8.987402319899999437e-02
2.763711111300000134e+00,2.684312580900000134e-02,1.926503004400000052e-02,6.693960733799999563e-01,9.134663657800000391e-02
2.730347674099999900e+00,2.730150206899999848e-02,2.005839955000000147e-02,6.663806225199999655e-01,9.286555401300000678e-02
